label,req_id,total_time,total_steps,prompt_len,block_length,max_block_t,min_block_t,std_block_t,n_blocks,tps
B=64,30,6.550176101969555,,52,64,0,0,0,5,48.85364836279441
B=64,31,7.176617714925669,,76,64,0,0,0,5,49.04817477847861
B=128,0,6.578395307064056,,76,128,0,0,0,2,48.64408188671415
B=128,1,3.9483063829829916,,39,128,0,0,0,1,48.62844505368445
B=128,2,7.270719886990264,,70,128,0,0,0,2,48.4133628404314
B=128,3,5.2912687140051275,,48,128,0,0,0,2,48.381591228283234
B=128,4,5.92791083001066,,123,128,0,0,0,2,48.58372675613983
B=128,5,10.670755103928968,,69,128,0,0,0,4,47.9816090813931
B=128,6,5.234576585935429,,56,128,0,0,0,2,48.905579237838644
B=128,7,9.232008140999824,,83,128,0,0,0,3,48.526820292803784
B=128,8,9.96511289908085,,117,128,0,0,0,3,48.16804434240516
B=128,9,5.9608115289593115,,72,128,0,0,0,2,48.3155688786358
B=128,10,5.234496280085295,,73,128,0,0,0,2,48.90632953049467
B=128,11,5.861345243058167,,75,128,0,0,0,2,49.13547795893618
B=128,12,7.8303207559511065,,80,128,0,0,0,3,49.04013666466433
B=128,13,9.880765323992819,,71,128,0,0,0,3,48.579232909666146
B=128,14,9.969775979989208,,65,128,0,0,0,3,48.145515101184806
B=128,15,9.318250417942181,,107,128,0,0,0,3,48.0776948360801
B=128,16,5.96639324107673,,66,128,0,0,0,2,48.270368439212334
B=128,17,9.291072456049733,,70,128,0,0,0,3,48.218330243274764
B=128,18,6.682680955971591,,40,128,0,0,0,2,47.88497342732643
B=128,19,9.936801328905858,,78,128,0,0,0,3,48.30528296904703
B=128,20,9.939068296924233,,76,128,0,0,0,3,48.294265182637076
B=128,21,7.9352300519822165,,59,128,0,0,0,3,48.39179172934967
B=128,22,5.233739239978604,,68,128,0,0,0,2,48.91340364160874
B=128,23,5.2510115639306605,,51,128,0,0,0,2,48.75251118441081
B=128,24,5.879343684995547,,52,128,0,0,0,2,48.985059460802404
B=128,25,9.2071799490368,,80,128,0,0,0,3,48.657678298865775
B=128,26,5.897013587062247,,82,128,0,0,0,2,48.83827987642043
B=128,27,6.665319956024177,,72,128,0,0,0,2,48.0096982757416
B=128,28,5.298583843978122,,63,128,0,0,0,2,48.314796469805
B=128,29,6.586173280025832,,82,128,0,0,0,2,48.5866354246217
B=128,30,6.600570812937804,,52,128,0,0,0,2,48.480655547663666
B=128,31,7.221588381915353,,76,128,0,0,0,2,48.742739323317736
